土地移轉總面積平方公尺,都市土地使用分區,交易年月,建物大於1,車位數,樓層比例,建物型態,是否透天,是否投資透天,主要用途,屋齡缺失,屋齡,建物移轉總面積平方公尺,是否毛胚,建物現況格局-房,有無管理組織,單價,總價元,車位類別,車位總價元,特殊交易,電梯,latitude,longitude,與竹科距離_km,mean_price_per_unit,high_price_decorated
12.92,住,11310,0,1,0.166666667,華廈,0,0,住家用,0,31.2,62.01,0,3,1,96758.58732,6000000,平面,1100000,1,1,24.8250222,120.9689578,6.091429898,103765.4406,0
5.94,商,11311,0,1,0.583333333,大樓,0,0,住家用,0,30.1,63.09,0,3,1,39625.93121,2500000,平面,1100000,1,1,24.7879056,120.9281298,7.899980835,74514.81952,0
5.02,商,11310,0,0,0.291666667,大樓,0,0,住家用,0,27.5,63.38,0,2,1,70369.20164,4460000,無,0,0,1,24.8060424,120.9617727,5.222349383,115694.9648,0
9.64,住,11311,0,0,-0.111111111,華廈,0,0,其他,0,27,63.57,0,1,1,59304.70348,3770000,無,0,0,1,24.801084,120.9828914,3.175789258,124826.38,0
5.03,商,11309,0,0,0.458333333,大樓,0,0,住家用,0,27.4,63.59,0,2,1,122660.7957,7800000,無,0,0,1,24.8061014,120.9619719,5.208531055,116017.9051,0
5.13,工,11309,0,1,0.923076923,大樓,0,0,辦公用,0,16,64.06,0,1,1,187324.3834,12000000,平面,1100000,0,1,24.7849631,121.0179678,1.271015931,163788.6725,0
10.8,住,11308,0,0,0.285714286,華廈,0,0,住家用,0,9.3,64.15,0,2,0,113795.7911,7300000,無,0,0,1,24.8096056,120.9602087,5.567931393,110636.4141,0
7.71,商,11309,0,1,0.909090909,大樓,0,0,辦公用,0,16.7,64.49,0,2,1,170569.0805,11000000,平面,1100000,0,1,24.8067424,120.9640481,5.069117644,123497.0087,1
98,商,11309,0,0,1.1,透天厝,1,0,其他,0,44.6,64.72,1,0,0,426452.4104,27600000,無,0,0,0,24.8054575,120.9666542,4.770810141,117515.7792,1
16.65,住,11310,0,0,1,公寓,0,0,住家用,0,33.6,64.86,0,2,0,81714.46192,5300000,無,0,0,0,24.7884428,120.9679254,3.918520641,95587.25411,0
