土地位置建物門牌(Geo),土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年,交易月,交易筆棟數,建物大於1,車位數,移轉層次,總樓層數,建物型態,主要用途,建築完成年,建築完成月,屋齡缺失,屋齡,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易,電梯
台灣新竹市新竹市東大路二段６２２之３號五樓之１,新竹市新竹市東大路二段６２２之３號五樓之１,32.82,非,110,1,建物1車位1,0,1,五層,十四層,大樓,住家用,113,6,1,0,150.21,3,2,2,有,11990000,坡道平面,19.36,540000,0,有
台灣新竹市新竹市東大路二段６２２之３號六樓之２,新竹市新竹市東大路二段６２２之３號六樓之２,32.82,非,110,1,建物1車位1,0,1,六層,十四層,大樓,住家用,113,6,1,0,150.21,3,2,2,有,12000000,坡道平面,19.36,540000,0,有
台灣新竹市新竹市東大路二段６２２之１０號四樓之３,新竹市新竹市東大路二段６２２之１０號四樓之３,32.82,非,110,1,建物1車位1,0,1,四層,十四層,大樓,住家用,113,6,1,0,150.22,3,2,2,有,11890000,坡道平面,19.36,540000,0,有
台灣新竹市新竹市東大路二段６２２之１０號三樓之５,新竹市新竹市東大路二段６２２之１０號三樓之５,32.82,非,110,1,建物1車位1,0,1,三層,十四層,大樓,住家用,113,6,1,0,150.22,3,2,2,有,12130000,坡道平面,19.36,560000,0,有
台灣新竹市新竹市東大路二段６２２之１０號七樓之１,新竹市新竹市東大路二段６２２之１０號七樓之１,32.29,非,110,1,建物1車位1,0,1,七層,十四層,大樓,住家用,113,6,1,0,150.35,3,2,2,有,12490000,坡道平面,21.61,650000,0,有
台灣新竹市新竹市東大路二段６２２之１０號三樓之１,新竹市新竹市東大路二段６２２之１０號三樓之１,32.29,非,110,1,建物1車位1,0,1,三層,十四層,大樓,住家用,113,6,1,0,150.35,3,2,2,有,12130000,坡道平面,21.61,650000,0,有
台灣新竹市新竹市東大路二段６２２之１０號三樓之２,新竹市新竹市東大路二段６２２之１０號三樓之２,32.29,非,110,1,建物1車位1,0,1,三層,十四層,大樓,住家用,113,6,1,0,150.35,3,2,2,有,12130000,坡道平面,21.61,650000,0,有
台灣新竹市新竹市經國路三段９２巷１６弄５８號十四樓,新竹市新竹市經國路三段９２巷１６弄５８號十四樓,18.07,住,113,8,建物1車位1,0,1,十四層,十五層,大樓,住家用,102,4,0,11.4,150.41,3,1,2,有,18170000,坡道平面,29.67,0,0,有
台灣新竹市新竹市東大路二段６２２之３號四樓之２,新竹市新竹市東大路二段６２２之３號四樓之２,32.82,非,110,1,建物1車位1,0,1,四層,十四層,大樓,住家用,113,6,1,0,150.53,3,2,2,有,11700000,坡道平面,19.68,560000,0,有
台灣新竹市新竹市武陵路１７１號９樓之１,新竹市新竹市武陵路１７１號９樓之１,14.58,住,113,8,建物1車位1,0,1,九層,十五層,大樓,住家用,85,1,0,28.7,150.62,4,2,2,有,15000000,坡道機械,0,0,0,有
台灣新竹市新竹市埔頂三路１２３號十樓,新竹市新竹市埔頂三路１２３號十樓,18.19,住,113,7,建物1車位1,0,1,十層,十二層,大樓,住家用,100,5,0,13.2,150.69,3,2,2,有,28800000,坡道平面,0,0,0,有
台灣新竹市新竹市金雅西街１２３巷１號二樓之１,新竹市新竹市金雅西街１２３巷１號二樓之１,23.81,非,113,6,建物1車位1,0,1,二層,十層,華廈,住家用,109,5,0,4.1,150.7,3,2,2,有,18140000,坡道平面,28.46,0,0,有
台灣新竹市新竹市志平路１１１號六樓之１,新竹市新竹市志平路１１１號六樓之１,55.93,非,113,9,建物1車位1,0,1,六層,十四層,大樓,住家用,96,7,0,17.2,150.78,2,2,2,有,18580000,坡道平面,26.39,0,0,有
台灣新竹市新竹市東大路二段６２２之１０號二樓之３,新竹市新竹市東大路二段６２２之１０號二樓之３,32.82,非,110,1,建物1車位1,0,1,二層,十四層,大樓,住家用,113,6,1,0,151.19,3,2,2,有,12130000,坡道平面,20.32,560000,0,有
台灣新竹市新竹市東大路二段６２２之１０號六樓之３,新竹市新竹市東大路二段６２２之１０號六樓之３,32.82,非,110,1,建物1車位1,0,1,六層,十四層,大樓,住家用,113,6,1,0,151.19,3,2,2,有,12290000,坡道平面,20.32,560000,0,有
台灣新竹市新竹市東大路二段６２２之１０號五樓之５,新竹市新竹市東大路二段６２２之１０號五樓之５,32.82,非,110,1,建物1車位1,0,1,五層,十四層,大樓,住家用,113,6,1,0,151.19,3,2,2,有,12200000,坡道平面,20.32,560000,0,有
台灣新竹市新竹市東大路二段６２２之１０號七樓之５,新竹市新竹市東大路二段６２２之１０號七樓之５,32.82,非,110,1,建物1車位1,0,1,七層,十四層,大樓,住家用,113,6,1,0,151.19,3,2,2,有,12460000,坡道平面,20.32,590000,0,有
台灣新竹市新竹市境福街２０１巷２８號三樓之２,新竹市新竹市境福街２０１巷２８號三樓之２,32.21,非,110,8,建物1車位1,0,1,三層,十一層,大樓,住家用,113,5,1,0,151.2,3,2,2,有,11350000,坡道機械,17.78,460000,0,有
